text,label
Tui darun khelchis aj!,not bullying
Tui ekdom hasjokor.,bullying
Tui game ta noshto korchis.,bullying
Tui ekdom boka vai!,bullying
Tui shob shomoy baje comment koris.,bullying
Tore dekhe birokt lage.,bullying
Tui onek porishromi.,not bullying
"Dhonnobad vai, dorkar chhilo.",not bullying
Shobai bhalo thakuk.,not bullying
Tui onek improve korchis.,not bullying
Tui game ta noshto korchis.,bullying
Tor moto baje manus dekhi nai.,bullying
Tui kichu paris na.,bullying
"Bah, ki sundor likhechis!",not bullying
Tui onek improve korchis.,not bullying
Tui khub bhodro acharon koris.,not bullying
Tui asole medhabi.,not bullying
Tui baje khelis.,bullying
Tor idea ta darun chhilo.,not bullying
Tui game ta noshto korchis.,bullying
Bhalo lagche toke dekhe.,not bullying
Tui asole loser.,bullying
Tor moto baje manus dekhi nai.,bullying
Tui baje khelis.,bullying
Tui darun khelchis aj!,not bullying
Tui amar bhalo bondhu.,not bullying
Tui asole loser.,bullying
Tui amar bhalo bondhu.,not bullying
Tore keu patta day na.,bullying
Mon kharap korish na.,not bullying
Tui khub bhodro acharon koris.,not bullying
Tui ekdom hasjokor.,bullying
Tore dekhe birokt lage.,bullying
Chol ekshathe kheli porer bar.,not bullying
Tor kajta khub bhalo legeche.,not bullying
Tui ekdom ojoggo.,bullying
Tui asole medhabi.,not bullying
Tui onek porishromi.,not bullying
Shobai bhalo thakuk.,not bullying
Tui kichu paris na.,bullying
Tui ekdom hasjokor.,bullying
Tui ekdom ojoggo.,bullying
Tui baje khelis.,bullying
"Chup thak, matha khas na.",bullying
Tore keu patta day na.,bullying
Tui asole loser.,bullying
"Bah, ki sundor likhechis!",not bullying
Tui nijeke kichu bhabis naki?,bullying
Tore dole nile har nishchit.,bullying
Tui shob shomoy baje comment koris.,bullying
Bhalo laglo tor post ta.,not bullying
"Bah, ki sundor likhechis!",not bullying
Tui asole medhabi.,not bullying
Tor kajta khub bhalo legeche.,not bullying
Tui game ta noshto korchis.,bullying
Toke keu pochhondo kore na.,bullying
"Tui parbi, chinta korish na.",not bullying
"Tui parbi, chinta korish na.",not bullying
Bhalo laglo tor post ta.,not bullying
Shobai bhalo thakuk.,not bullying
Tor chhobi sundor hoyeche.,not bullying
Tui ekdom jhonnno.,bullying
Tui ekdom ojoggo.,bullying
Tui onek improve korchis.,not bullying
Tore dole nile har nishchit.,bullying
Tor moto baje manus dekhi nai.,bullying
Tore dole nile har nishchit.,bullying
Tui nijeke kichu bhabis naki?,bullying
Tui game ta noshto korchis.,bullying
Tui ekdom jhonnno.,bullying
Tui ekdom ojoggo.,bullying
Toke keu pochhondo kore na.,bullying
Tui ekdom hasjokor.,bullying
"Chup thak, matha khas na.",bullying
Tui ekdom jhonnno.,bullying
Tor chhobi sundor hoyeche.,not bullying
"Bah, ki sundor likhechis!",not bullying
Tui baje khelis.,bullying
Tui darun khelchis aj!,not bullying
Tore keu patta day na.,bullying
Tui khub bhodro acharon koris.,not bullying
Tore keu patta day na.,bullying
Tor moto baje manus dekhi nai.,bullying
Chol ekshathe kheli porer bar.,not bullying
Tui shob shomoy baje comment koris.,bullying
Tor chhobi sundor hoyeche.,not bullying
Tor confidence darun.,not bullying
Toke keu pochhondo kore na.,bullying
Tor moto baje manus dekhi nai.,bullying
"Bah, ki sundor likhechis!",not bullying
Tui asole medhabi.,not bullying
Tui nijeke kichu bhabis naki?,bullying
Tui amar bhalo bondhu.,not bullying
Tor idea ta darun chhilo.,not bullying
Tui asole loser.,bullying
Tore dekhe birokt lage.,bullying
Tui eto ajob ken?,bullying
Tor kajta khub bhalo legeche.,not bullying
Tui kichu paris na.,bullying
Tui ekdom boka vai!,bullying
Tui shob shomoy baje comment koris.,bullying
Khub sundor comment.,not bullying
Shobai bhalo thakuk.,not bullying
Tui ekdom hasjokor.,bullying
Tui shob shomoy baje comment koris.,bullying
Tui amar bhalo bondhu.,not bullying
Bhalo lagche toke dekhe.,not bullying
Shobai bhalo thakuk.,not bullying
Tore keu patta day na.,bullying
Khub sundor comment.,not bullying
Tui asole medhabi.,not bullying
Tor moto baje manus dekhi nai.,bullying
Tor chinta shunle hashi pai.,bullying
Bhalo laglo tor post ta.,not bullying
Tor chinta shunle hashi pai.,bullying
Tui game ta noshto korchis.,bullying
Bhalo lagche toke dekhe.,not bullying
Tui nijeke kichu bhabis naki?,bullying
Mon kharap korish na.,not bullying
Tui game ta noshto korchis.,bullying
Tui kichu paris na.,bullying
"Chaliye ja, ekdin boro kichu korbi.",not bullying
Tui ekdom jhonnno.,bullying
Tui onek porishromi.,not bullying
Tui darun khelchis aj!,not bullying
Tor chinta shunle hashi pai.,bullying
Chol ekshathe kheli porer bar.,not bullying
Tui shob shomoy baje comment koris.,bullying
Tor chinta shunle hashi pai.,bullying
"Bah, ki sundor likhechis!",not bullying
Tor idea ta darun chhilo.,not bullying
Tor moto baje manus dekhi nai.,bullying
Chol ekshathe kheli porer bar.,not bullying
"Bah, ki sundor likhechis!",not bullying
Khub sundor comment.,not bullying
Bhalo laglo tor post ta.,not bullying
Tore dole nile har nishchit.,bullying
Tor idea ta darun chhilo.,not bullying
Chol ekshathe kheli porer bar.,not bullying
Tui amar bhalo bondhu.,not bullying
Tui asole loser.,bullying
Bhalo laglo tor post ta.,not bullying
Tui khub bhodro acharon koris.,not bullying
Tui darun khelchis aj!,not bullying
Tor moto baje manus dekhi nai.,bullying
Tor idea ta darun chhilo.,not bullying
Tui baje khelis.,bullying
Tui ekdom jhonnno.,bullying
